"坊や、もしかして
ナセルっていう名前？齔
さっきね、背の高い金髪の
人が、ナセルって子が来たら
渡してくれって・・・。これ。","Hey, kid... is
your name Nassel?\
Not long ago, a tall blond
person said that if a child
named Nassel came, I should
hand him... this."
"君、ここに来る途中で
金髪で背の高い男に
会わなかったかい？齔
あの眼の色は普通じゃない
あの男はいったい・・・。","Did you happen to run
into a tall blond man
on your way here?\
Who the heck is that
guy with those
funny-colored eyes?"
"溶岩の谷の近くで
フェリシア王女によく似た
人影を見かけたんだ・・・。","I saw the silhouette of
someone who looked a
lot like Princess Ferisia
near the lava valley..."
"おお。君がナセル君か。
君の父上から、話は
聞いている。齔
父上は今、溶岩の谷に
行っておられる。
伝説のムーンストーン
を見つけたと言ってな齔
すぐ父上の後を追いなさい。齔
・・・！？齔
おっと忘れるところじゃった。
ナセル君、この衝波の杖を
あげよう。齔
これで、衝波の水晶が
あれば地の魔法が使える。",Text 3
"君、ロイの息子さん？齔
お父さん、捜してた物が
見つかりそうだって
谷に入ったのよ。","Are you Roy's son?\
Your father said he
seemed to have found what
he was looking for and
went to the valley."
"ああ、疲れた。
仕事もほどほどに
しとかないとな。
体、こわしちゃうぜ。","Ahh, I'm worn out!
Even work in moderation,
they say! Or else you'll
ruin your body!"
"この間、ムーンストーンを
捜しに来たって人がいたよ。
あんたと同じ人間だ。","The other day, someone
said he came on a quest
for the Moonstone. He was
a human just like you!"
"ここはドワーフの町だ。
細工物をお捜しかい？齔
ドワーフの細工は
天下一品だよ。",Text 7
"昔あった火山の噴火で
洞窟への道が溶岩に
塞がれちゃったんだ。齔
冷気の壷があればなぁ・・・。",Text 8
"早くムーンストーンを
頼むよ。",Text 9
あの金髪の人は誰だったの？,Text 10
"フェリシア王女じゃなかったの
かなぁ。うーむ。",Text 11
"あなたって・・・。あ、いえ、
なんでもありません。",Text 12
"仕事もほどほどに
しとかないとな。
体、こわしちゃうぜ。
ほら、もうこんなに。",Text 13
親孝行しなくちゃな。,Text 14
"ルディアンの細工物なんかは
凄いぞ。・・・なんじゃ買って
いかんのか？。齔
お勧めなんじゃがのう。",Text 15
ねむいよー。シクシク,Text 16
"何にするね？
買っておゆき。
あんた得したね。
あんた持ってるよ。
出直しといで。",Text 17
"どぅわははははっ
俺がじいちゃんから
聞いた話によるとな、
溶岩の洞窟にゃ
すごい剣があって
勇者が来るのを待って
いるんだとよ。
信じるかい？
どぅわっはっげほっ！",Text 18
ちゃんと渡したわよ。,Text 19
"おお。君がナセル君か。
君の父上から、話は
聞いている。齔
父上はムーンブレイドを
作ると言って、帰って
行ったぞ。齔
おっと忘れるところじゃった。
ナセル君、この衝波の杖を
あげよう。齔
これで、衝波の水晶が
あれば地の魔法が使える。",Text 20
"おお。君がナセル君か。
君の父上から、話は
聞いている。齔
無事でなによりじゃ。齔
おっと忘れるところじゃった。
ナセル君、この衝波の杖を
あげよう。齔
これで、衝波の水晶が
あれば地の魔法が使える。",Text 21
気を付けてな。,Text 22
ムーンストーンって何？,Text 23
"へぇー、あんたのお父さん
だったのかい。",Text 24
"あっ！その壷だよっ
それで溶岩を凍らせる
ことができるよ。",Text 25
"俺は剣を作る為に
家に戻る。齔
必ずや、見事な剣を
作ってみせるよ。",Text 26
"おお、それはムーンストーン！
ナセル、やったな。齔
これで、夢にまで見た
伝説の剣が作れるという
わけだ。齔
ナセル。おまえが本当に
ムーンブレイドの勇者
なのかはわからん。齔
しかし俺は、強くなった
お前にふさわしい剣を
作ってやりたい。齔
ムーンブレイドが出来上がる
まで辛いだろうが、今は耐え
てくれ。齔
かわりといってはなんだが
この壷をやろう。齔
きっと役に立つはずだ。",Text 27
"父上はムーンブレイドを
作ると言って、帰って
行ったぞ。",Text 28
無事でなによりじゃ。,Text 29
